graph name, algorithm, score, time
LFR_N5000_ad5_mc50_mu0.5_i26, label propagation, 3.203349547001118e-16, 1.2444730539999997
LFR_N5000_ad5_mc50_mu0.5_i26, infomap, 0.9233598957597421, 0.7287470270000007
LFR_N5000_ad5_mc50_mu0.5_i26, louvain, 0.7718742537822549, 1.6252131920000004
LFR_N5000_ad5_mc50_mu0.5_i26, leiden, 0.6910785689766271, 0.806776482000001
LFR_N1000000_ad5_mc50_mu0.5_i9, label propagation, 0.9693388327271756, 1316.96190476
LFR_N1000000_ad5_mc50_mu0.5_i9, infomap, 0.9703335418604895, 387.49016622
LFR_N1000000_ad5_mc50_mu0.5_i9, louvain, 0.5652305886230322, 1574.608338257
LFR_N1000000_ad5_mc50_mu0.5_i9, leiden, 0.6764100627916452, 305.1456928040002
LFR_N100_ad5_mc50_mu0.5_i8, label propagation, 8.593328188740102e-17, 2.9050298359998123
LFR_N100_ad5_mc50_mu0.5_i8, infomap, 8.593328188740102e-17, 0.013147278999895207
LFR_N100_ad5_mc50_mu0.5_i8, louvain, 0.063141118208297, 0.022190986000168778
LFR_N100_ad5_mc50_mu0.5_i8, leiden, 0.05108417201289622, 0.013625500999751239
LFR_N50000_ad5_mc50_mu0.5_i12, label propagation, 0.9465583496975607, 34.8019459799998
LFR_N50000_ad5_mc50_mu0.5_i12, infomap, 0.9605553552552889, 11.754200804999982
LFR_N50000_ad5_mc50_mu0.5_i12, louvain, 0.724082409331318, 35.160843515000124
LFR_N50000_ad5_mc50_mu0.5_i12, leiden, 0.6747007639709108, 9.341568307000216
LFR_N50000_ad5_mc50_mu0.5_i4, label propagation, 0.9507153591814866, 34.69869968099965
LFR_N50000_ad5_mc50_mu0.5_i4, infomap, 0.9636996741834576, 11.392442875000143
LFR_N50000_ad5_mc50_mu0.5_i4, louvain, 0.7252390721067491, 41.56627822500013
LFR_N50000_ad5_mc50_mu0.5_i4, leiden, 0.687484268121002, 8.909373072000108
LFR_N50000_ad5_mc50_mu0.5_i13, label propagation, 0.949391454660657, 31.864059713999723
LFR_N50000_ad5_mc50_mu0.5_i13, infomap, 0.9604355826235301, 11.991391963000297
LFR_N50000_ad5_mc50_mu0.5_i13, louvain, 0.7263952385860907, 35.34608676300013
LFR_N50000_ad5_mc50_mu0.5_i13, leiden, 0.6845163928047158, 9.700955266000165
LFR_N1000_ad5_mc50_mu0.5_i14, label propagation, 0.0, 0.2891477739999573
LFR_N1000_ad5_mc50_mu0.5_i14, infomap, 0.0, 0.09626090900019335
LFR_N1000_ad5_mc50_mu0.5_i14, louvain, 0.6612129912416544, 0.2860838149999836
LFR_N1000_ad5_mc50_mu0.5_i14, leiden, 0.583123659408844, 0.14048719899983553
LFR_N1000000_ad5_mc50_mu0.5_i0, label propagation, 0.9699463912964044, 949.2051063760005
LFR_N1000000_ad5_mc50_mu0.5_i0, infomap, 0.9707068075620776, 457.31371393599966
LFR_N1000000_ad5_mc50_mu0.5_i0, louvain, 0.5678997299890769, 1353.7039139710005
LFR_N1000000_ad5_mc50_mu0.5_i0, leiden, 0.6787473191467821, 298.77173653999944
LFR_N5000_ad5_mc50_mu0.5, label propagation, 3.2242161474509713e-16, 4.634647655999288
LFR_N5000_ad5_mc50_mu0.5, infomap, 0.9136136246876078, 0.7007711430005656
LFR_N5000_ad5_mc50_mu0.5, louvain, 0.760677472289383, 2.3748692640001536
LFR_N5000_ad5_mc50_mu0.5, leiden, 0.6588349356609474, 0.8141341549999197
LFR_N50000_ad5_mc50_mu0.5_i9, label propagation, 0.9504998150236481, 40.739109240999824
LFR_N50000_ad5_mc50_mu0.5_i9, infomap, 0.961427915168632, 11.694841653000367
LFR_N50000_ad5_mc50_mu0.5_i9, louvain, 0.722158021741239, 38.7615039580005
LFR_N50000_ad5_mc50_mu0.5_i9, leiden, 0.6811517250491412, 9.546807634999823
LFR_N50000_ad5_mc50_mu0.5_i21, label propagation, 0.9489288441721636, 28.990416047000508
LFR_N50000_ad5_mc50_mu0.5_i21, infomap, 0.9616928707569221, 11.901204541999505
LFR_N50000_ad5_mc50_mu0.5_i21, louvain, 0.7222256459867322, 34.95784761300001
LFR_N50000_ad5_mc50_mu0.5_i21, leiden, 0.6817593713562935, 9.642182685999614
LFR_N1000000_ad5_mc50_mu0.5_i1, label propagation, 0.9695151638966156, 876.81073844
LFR_N1000000_ad5_mc50_mu0.5_i1, infomap, 0.9705316123887289, 459.28111569999965
LFR_N1000000_ad5_mc50_mu0.5_i1, louvain, 0.5669193293020538, 1334.0778433389987
LFR_N1000000_ad5_mc50_mu0.5_i1, leiden, 0.6794085156898296, 295.04444954800056
LFR_N1000_ad5_mc50_mu0.5_i15, label propagation, 0.0, 3.0032647239986545
LFR_N1000_ad5_mc50_mu0.5_i15, infomap, 0.0, 0.09771529099998588
LFR_N1000_ad5_mc50_mu0.5_i15, louvain, 0.6692678393826988, 0.6294187769999553
LFR_N1000_ad5_mc50_mu0.5_i15, leiden, 0.6208145759664466, 0.14597357899947383
LFR_N1000000_ad5_mc50_mu0.5_i11, label propagation, 0.9697369652276008, 863.5838969039996
LFR_N1000000_ad5_mc50_mu0.5_i11, infomap, 0.9707607771130363, 456.0065906100008
LFR_N1000000_ad5_mc50_mu0.5_i11, louvain, 0.5669373819862118, 1343.585573028
LFR_N1000000_ad5_mc50_mu0.5_i11, leiden, 0.6769874184891242, 306.12870733599993
LFR_N5000_ad5_mc50_mu0.5_i18, label propagation, 2.937301372190563e-16, 5.667004671000541
LFR_N5000_ad5_mc50_mu0.5_i18, infomap, 0.9226149244897979, 0.6969633110002178
LFR_N5000_ad5_mc50_mu0.5_i18, louvain, 0.7629916130845109, 1.8344732519999525
LFR_N5000_ad5_mc50_mu0.5_i18, leiden, 0.662297929319331, 0.7570944800008874
LFR_N10000_ad5_mc50_mu0.5_i19, label propagation, 0.8865370378986484, 4.936875897999926
LFR_N10000_ad5_mc50_mu0.5_i19, infomap, 0.9337903231753506, 1.5796007429999008
LFR_N10000_ad5_mc50_mu0.5_i19, louvain, 0.7523550805364118, 5.368263542999557
LFR_N10000_ad5_mc50_mu0.5_i19, leiden, 0.6828650038457293, 1.5718172449996928
LFR_N500000_ad5_mc50_mu0.5_i8, label propagation, 0.9672592674935953, 428.5582823479999
LFR_N500000_ad5_mc50_mu0.5_i8, infomap, 0.9692178376947801, 180.08407315399927
LFR_N500000_ad5_mc50_mu0.5_i8, louvain, 0.6054146980545209, 525.600151736
LFR_N500000_ad5_mc50_mu0.5_i8, leiden, 0.678909920911288, 131.14719442099886
LFR_N10000_ad5_mc50_mu0.5_i13, label propagation, 0.9021880923192345, 7.5763298780002515
LFR_N10000_ad5_mc50_mu0.5_i13, infomap, 0.9442819526395599, 1.5247431580010016
LFR_N10000_ad5_mc50_mu0.5_i13, louvain, 0.7677018910141535, 4.3178920919999655
LFR_N10000_ad5_mc50_mu0.5_i13, leiden, 0.6941594479866445, 1.5412350290007453
LFR_N500000_ad5_mc50_mu0.5_i0, label propagation, 0.9673641451199003, 455.78471075499874
LFR_N500000_ad5_mc50_mu0.5_i0, infomap, 0.9694630297690524, 155.26252025699978
LFR_N500000_ad5_mc50_mu0.5_i0, louvain, 0.608467338153334, 639.1966347679991
LFR_N500000_ad5_mc50_mu0.5_i0, leiden, 0.6779386149861211, 130.92036797400033
LFR_N100000_ad5_mc50_mu0.5_i29, label propagation, 0.9587506271650273, 82.37366904700139
LFR_N100000_ad5_mc50_mu0.5_i29, infomap, 0.9655500623046985, 25.97076601399931
LFR_N100000_ad5_mc50_mu0.5_i29, louvain, 0.7085901286229047, 92.7855987160001
LFR_N100000_ad5_mc50_mu0.5_i29, leiden, 0.684157451158244, 19.542710477999208
LFR_N5000_ad5_mc50_mu0.5_i11, label propagation, 2.9666065458672707e-16, 1.4201111960010167
LFR_N5000_ad5_mc50_mu0.5_i11, infomap, 0.9187237401741544, 0.7106363000002602
LFR_N5000_ad5_mc50_mu0.5_i11, louvain, 0.7533274045495666, 2.0018735289995675
LFR_N5000_ad5_mc50_mu0.5_i11, leiden, 0.6846739519370567, 0.7536666649994004
LFR_N100_ad5_mc50_mu0.5_i29, label propagation, 8.492114110360876e-16, 0.030175697000231594
LFR_N100_ad5_mc50_mu0.5_i29, infomap, 8.492114110360876e-16, 0.008283306999146589
LFR_N100_ad5_mc50_mu0.5_i29, louvain, 0.010234358375896346, 0.022540632999152876
LFR_N100_ad5_mc50_mu0.5_i29, leiden, 0.009450847115045784, 0.013150776998372748
LFR_N1000000_ad5_mc50_mu0.5_i27, label propagation, 0.9694940442967799, 857.841012025001
LFR_N1000000_ad5_mc50_mu0.5_i27, infomap, 0.9704266393976924, 453.6765301529995
LFR_N1000000_ad5_mc50_mu0.5_i27, louvain, 0.562933418413489, 1275.1265518699984
LFR_N1000000_ad5_mc50_mu0.5_i27, leiden, 0.6775241250100186, 308.1259966730031
LFR_N5000_ad5_mc50_mu0.5_i28, label propagation, 3.7247608717791076e-16, 4.467492986001162
LFR_N5000_ad5_mc50_mu0.5_i28, infomap, 0.9227000454725143, 0.6841908269998385
LFR_N5000_ad5_mc50_mu0.5_i28, louvain, 0.7708089023090124, 2.068599649002863
LFR_N5000_ad5_mc50_mu0.5_i28, leiden, 0.6657048690216321, 0.807003303001693
LFR_N1000000_ad5_mc50_mu0.5_i13, label propagation, 0.9695910502441902, 881.1263252400022
LFR_N1000000_ad5_mc50_mu0.5_i13, infomap, 0.9705323888396583, 449.31937119099894
LFR_N1000000_ad5_mc50_mu0.5_i13, louvain, 0.5677410007533125, 1633.6328206439975
LFR_N1000000_ad5_mc50_mu0.5_i13, leiden, 0.6809193502002169, 297.415661766001
LFR_N100000_ad5_mc50_mu0.5_i15, label propagation, 0.9588211979016196, 85.950812168001
LFR_N100000_ad5_mc50_mu0.5_i15, infomap, 0.9651088686245246, 26.0835529290016
LFR_N100000_ad5_mc50_mu0.5_i15, louvain, 0.7009598059215628, 72.75309469600325
LFR_N100000_ad5_mc50_mu0.5_i15, leiden, 0.6840470573088923, 19.59194661299989
LFR_N500_ad5_mc50_mu0.5_i3, label propagation, 0.0, 0.29816310300157056
LFR_N500_ad5_mc50_mu0.5_i3, infomap, 0.0, 0.03962116100228741
LFR_N500_ad5_mc50_mu0.5_i3, louvain, 0.4906696513716898, 0.18531428099959157
LFR_N500_ad5_mc50_mu0.5_i3, leiden, 0.4585275550431665, 0.07012780900186044
LFR_N1000000_ad5_mc50_mu0.5_i6, label propagation, 0.9696931797726722, 989.6791948309983
LFR_N1000000_ad5_mc50_mu0.5_i6, infomap, 0.9708443106374572, 464.843348937
LFR_N1000000_ad5_mc50_mu0.5_i6, louvain, 0.567020505765092, 1406.9489771080007
LFR_N1000000_ad5_mc50_mu0.5_i6, leiden, 0.678771252867053, 290.85960857300233
LFR_N1000_ad5_mc50_mu0.5_i24, label propagation, 0.0, 3.046838181999192
LFR_N1000_ad5_mc50_mu0.5_i24, infomap, 0.0, 0.09719884800142609
LFR_N1000_ad5_mc50_mu0.5_i24, louvain, 0.6665464847747306, 0.2799122360011097
LFR_N1000_ad5_mc50_mu0.5_i24, leiden, 0.5813222798183433, 0.1526187880008365
LFR_N1000_ad5_mc50_mu0.5_i23, label propagation, 0.0, 0.2684524819997023
LFR_N1000_ad5_mc50_mu0.5_i23, infomap, 0.0, 0.09442498300268198
LFR_N1000_ad5_mc50_mu0.5_i23, louvain, 0.6770698061613736, 0.3229730359998939
LFR_N1000_ad5_mc50_mu0.5_i23, leiden, 0.5932757278467258, 0.15688407200286747
LFR_N500000_ad5_mc50_mu0.5_i7, label propagation, 0.9666256071783123, 428.0695350669994
LFR_N500000_ad5_mc50_mu0.5_i7, infomap, 0.9691084022252895, 179.2602913390001
LFR_N500000_ad5_mc50_mu0.5_i7, louvain, 0.6076967821058668, 533.1761454059997
LFR_N500000_ad5_mc50_mu0.5_i7, leiden, 0.6795426405121618, 128.9389346709977
LFR_N1000_ad5_mc50_mu0.5_i12, label propagation, 0.0, 1.3550701819985989
LFR_N1000_ad5_mc50_mu0.5_i12, infomap, 0.0, 0.08763504400121747
LFR_N1000_ad5_mc50_mu0.5_i12, louvain, 0.6470600208752697, 0.31938760800039745
LFR_N1000_ad5_mc50_mu0.5_i12, leiden, 0.5781708956131237, 0.14494405200093752
LFR_N5000_ad5_mc50_mu0.5_i6, label propagation, 3.304986969580504e-16, 1.2523842970003898
LFR_N5000_ad5_mc50_mu0.5_i6, infomap, 0.9286701346895473, 0.7056962189999467
LFR_N5000_ad5_mc50_mu0.5_i6, louvain, 0.7662473051180286, 2.09333820500251
LFR_N5000_ad5_mc50_mu0.5_i6, leiden, 0.6805562732276104, 0.7795291929978703
LFR_N500000_ad5_mc50_mu0.5_i4, label propagation, 0.9675668505018478, 401.3403864489992
LFR_N500000_ad5_mc50_mu0.5_i4, infomap, 0.9696627437692357, 181.151580173002
LFR_N500000_ad5_mc50_mu0.5_i4, louvain, 0.6043823071738922, 627.1638135110006
LFR_N500000_ad5_mc50_mu0.5_i4, leiden, 0.6803199352239454, 130.416471206001
LFR_N1000_ad5_mc50_mu0.5, label propagation, 0.0, 1.3493640400010918
LFR_N1000_ad5_mc50_mu0.5, infomap, 0.0, 0.08908369799974025
LFR_N1000_ad5_mc50_mu0.5, louvain, 0.6826399294227955, 0.40322047999870847
LFR_N1000_ad5_mc50_mu0.5, leiden, 0.6170493497306035, 0.1739736380004615
LFR_N500_ad5_mc50_mu0.5_i18, label propagation, 0.0, 0.09838560100251925
LFR_N500_ad5_mc50_mu0.5_i18, infomap, 0.0, 0.04082682599982945
LFR_N500_ad5_mc50_mu0.5_i18, louvain, 0.5674854334695902, 0.12996246100010467
LFR_N500_ad5_mc50_mu0.5_i18, leiden, 0.4992360758726596, 0.06947689200023888
LFR_N500000_ad5_mc50_mu0.5_i15, label propagation, 0.9664682428592087, 458.55314533699857
LFR_N500000_ad5_mc50_mu0.5_i15, infomap, 0.9693061484216439, 167.40799049199995
LFR_N500000_ad5_mc50_mu0.5_i15, louvain, 0.6063267997855525, 591.0745602419993
LFR_N500000_ad5_mc50_mu0.5_i15, leiden, 0.6778246855167808, 127.29272679499991
LFR_N5000_ad5_mc50_mu0.5_i23, label propagation, 3.326672455760985e-16, 2.858110517998284
LFR_N5000_ad5_mc50_mu0.5_i23, infomap, 0.9231963747790403, 0.7044261279988859
LFR_N5000_ad5_mc50_mu0.5_i23, louvain, 0.7636147352495855, 2.224737696000375
LFR_N5000_ad5_mc50_mu0.5_i23, leiden, 0.6740098091087269, 0.8021574349986622
LFR_N100000_ad5_mc50_mu0.5_i22, label propagation, 0.9580055504485667, 82.17597526499958
LFR_N100000_ad5_mc50_mu0.5_i22, infomap, 0.9639689541945919, 25.927860194002278
LFR_N100000_ad5_mc50_mu0.5_i22, louvain, 0.7016522646171215, 78.66015599000093
LFR_N100000_ad5_mc50_mu0.5_i22, leiden, 0.6867025586785365, 20.956302323000273
LFR_N100000_ad5_mc50_mu0.5_i10, label propagation, 0.9575054050658873, 73.40485683500083
LFR_N100000_ad5_mc50_mu0.5_i10, infomap, 0.9643552653208619, 26.591042365998874
LFR_N100000_ad5_mc50_mu0.5_i10, louvain, 0.6999822712115247, 81.30245347700111
LFR_N100000_ad5_mc50_mu0.5_i10, leiden, 0.6827375749069438, 21.084430415998213
LFR_N50000_ad5_mc50_mu0.5_i15, label propagation, 0.9501746920956617, 34.9909222210008
LFR_N50000_ad5_mc50_mu0.5_i15, infomap, 0.9609103819439733, 11.185332654000376
LFR_N50000_ad5_mc50_mu0.5_i15, louvain, 0.7233600225608027, 34.90108752000015
LFR_N50000_ad5_mc50_mu0.5_i15, leiden, 0.6848046693720301, 9.659416156999214
LFR_N100_ad5_mc50_mu0.5_i15, label propagation, 3.4087044914381226e-16, 0.1138989799983392
LFR_N100_ad5_mc50_mu0.5_i15, infomap, 3.4087044914381226e-16, 0.008979744001408108
LFR_N100_ad5_mc50_mu0.5_i15, louvain, 0.19119341926674688, 0.026803589000337524
LFR_N100_ad5_mc50_mu0.5_i15, leiden, 0.09750437753222502, 0.01425105299858842
LFR_N100000_ad5_mc50_mu0.5_i4, label propagation, 0.9567741098340555, 96.27190478400007
LFR_N100000_ad5_mc50_mu0.5_i4, infomap, 0.9640305631206331, 25.291179108000506
LFR_N100000_ad5_mc50_mu0.5_i4, louvain, 0.6980728227534897, 86.86455652099903
LFR_N100000_ad5_mc50_mu0.5_i4, leiden, 0.6819736734059404, 21.23649236900019
LFR_N500000_ad5_mc50_mu0.5_i17, label propagation, 0.9680015356734464, 419.42573035500027
LFR_N500000_ad5_mc50_mu0.5_i17, infomap, 0.9699441350234528, 160.7558491460004
LFR_N500000_ad5_mc50_mu0.5_i17, louvain, 0.6094981336234523, 662.1123946660009
LFR_N500000_ad5_mc50_mu0.5_i17, leiden, 0.6797735226667971, 130.0407547600007
LFR_N1000_ad5_mc50_mu0.5_i10, label propagation, 0.0, 1.3868478260010306
LFR_N1000_ad5_mc50_mu0.5_i10, infomap, 0.0, 0.09089877299993532
LFR_N1000_ad5_mc50_mu0.5_i10, louvain, 0.6673401783050412, 0.378781469000387
LFR_N1000_ad5_mc50_mu0.5_i10, leiden, 0.5907514844463733, 0.15711422599997604
LFR_N500000_ad5_mc50_mu0.5_i27, label propagation, 0.9670484843000539, 417.24750061899977
LFR_N500000_ad5_mc50_mu0.5_i27, infomap, 0.9694881399264786, 157.7557033890007
LFR_N500000_ad5_mc50_mu0.5_i27, louvain, 0.6094855450545507, 617.1700370949984
LFR_N500000_ad5_mc50_mu0.5_i27, leiden, 0.6807824835559813, 129.61367183000402
LFR_N500000_ad5_mc50_mu0.5_i6, label propagation, 0.9672271204366889, 394.0751086809978
LFR_N500000_ad5_mc50_mu0.5_i6, infomap, 0.9693881896970381, 165.02937279999605
LFR_N500000_ad5_mc50_mu0.5_i6, louvain, 0.6064005095475197, 571.0090291260058
LFR_N500000_ad5_mc50_mu0.5_i6, leiden, 0.6788197721766, 129.94807614800084
LFR_N1000000_ad5_mc50_mu0.5_i10, label propagation, 0.9695495438038461, 966.0630496259982
LFR_N1000000_ad5_mc50_mu0.5_i10, infomap, 0.9707551027643526, 453.6935201230008
LFR_N1000000_ad5_mc50_mu0.5_i10, louvain, 0.5665318725571741, 1330.5513598269972
LFR_N1000000_ad5_mc50_mu0.5_i10, leiden, 0.6795437723693588, 306.6333067740052
LFR_N100000_ad5_mc50_mu0.5_i16, label propagation, 0.9598751005232381, 80.3540822549985
LFR_N100000_ad5_mc50_mu0.5_i16, infomap, 0.9664009711468854, 26.038146695995238
LFR_N100000_ad5_mc50_mu0.5_i16, louvain, 0.7051340173509022, 90.98155923499871
LFR_N100000_ad5_mc50_mu0.5_i16, leiden, 0.6882548509218985, 19.929619123999146
LFR_N10000_ad5_mc50_mu0.5_i2, label propagation, 0.8904415142752611, 7.1556336319990805
LFR_N10000_ad5_mc50_mu0.5_i2, infomap, 0.9435876751865684, 1.5824512270046398
LFR_N10000_ad5_mc50_mu0.5_i2, louvain, 0.7611737339721363, 4.969292236994079
LFR_N10000_ad5_mc50_mu0.5_i2, leiden, 0.6727695487340627, 1.588897353001812
LFR_N50000_ad5_mc50_mu0.5_i6, label propagation, 0.9495334445754544, 34.787088416996994
LFR_N50000_ad5_mc50_mu0.5_i6, infomap, 0.95985461932349, 11.362398066994501
LFR_N50000_ad5_mc50_mu0.5_i6, louvain, 0.7299330690580206, 35.15148734800459
LFR_N50000_ad5_mc50_mu0.5_i6, leiden, 0.6848218049476937, 9.538308613999106
LFR_N500000_ad5_mc50_mu0.5_i21, label propagation, 0.9669432502212233, 488.6548741430015
LFR_N500000_ad5_mc50_mu0.5_i21, infomap, 0.9690195624700294, 183.97695550000208
LFR_N500000_ad5_mc50_mu0.5_i21, louvain, 0.6044460895597709, 592.6739326829993
LFR_N500000_ad5_mc50_mu0.5_i21, leiden, 0.6804954540775874, 129.4157170940016
LFR_N500_ad5_mc50_mu0.5_i1, label propagation, 0.0, 1.2463894699976663
LFR_N500_ad5_mc50_mu0.5_i1, infomap, 0.0, 0.04098390999570256
LFR_N500_ad5_mc50_mu0.5_i1, louvain, 0.5273655608210697, 0.15740774100413546
LFR_N500_ad5_mc50_mu0.5_i1, leiden, 0.40872712618760887, 0.0726678019927931
LFR_N500_ad5_mc50_mu0.5_i4, label propagation, 0.0, 0.15165980899473652
LFR_N500_ad5_mc50_mu0.5_i4, infomap, 0.0, 0.04157620399928419
LFR_N500_ad5_mc50_mu0.5_i4, louvain, 0.6509235771480136, 0.16696664899791358
LFR_N500_ad5_mc50_mu0.5_i4, leiden, 0.5200311543571673, 0.07479035999858752
LFR_N500000_ad5_mc50_mu0.5_i28, label propagation, 0.9673239366698363, 442.266757530997
LFR_N500000_ad5_mc50_mu0.5_i28, infomap, 0.9694520767553941, 168.83469102799427
LFR_N500000_ad5_mc50_mu0.5_i28, louvain, 0.6037727038711981, 542.1288039800056
LFR_N500000_ad5_mc50_mu0.5_i28, leiden, 0.6795871626578077, 126.02432423400023
LFR_N5000_ad5_mc50_mu0.5_i5, label propagation, 3.312180960020225e-16, 2.814342804995249
